area,price_cr,price_per_unit,bed,bath,balcony,reserved_parking,floor,total_floors,east,west,north,south,northEast,prop_age,verified,mb_est
2200,2.08,9454,4,4,4,1,10,14,1,0,0,0,0,2,0,2.25
2205,1.94,8807,4,4,0,1,8,14,1,0,0,0,0,2,0,2.1
2205,2.35,10657,4,4,6,2,3,14,0,0,1,0,0,1,0,2.52
2195,2.24,10205,4,4,4,2,9,14,0,0,0,0,1,1,1,2.4
1630,1.7,10429,3,3,4,1,10,14,1,0,0,0,0,2,1,1.84
2200,2.35,10681,4,4,3,2,1,16,1,0,0,0,0,1,1,2.52
1630,1.58,9693,3,3,2,1,5,18,0,0,0,0,1,1,0,1.69
2170,2.1,9677,4,4,6,1,9,14,1,0,0,0,0,2,1,2.27
3000,2.7,9000,4,5,5,2,14,14,0,0,0,0,1,1,0,2.9
1665,1.7,10210,3,3,2,1,11,17,0,0,0,0,1,2,0,1.82
1665,1.7,10210,3,3,3,2,3,14,0,0,0,0,1,2,0,1.82
1665,1.7,10210,3,3,3,1,3,14,0,0,0,0,1,1,1,1.7
1860,1.95,10483,3,3,3,1,4,17,1,0,0,0,0,2,0,2.11
1895,2.0,10554,3,3,2,1,2,15,0,0,1,0,0,2,0,2.16
1895,2.0,10554,3,3,3,2,8,14,1,0,0,0,0,2,0,2.14
2195,2.25,10250,4,4,5,2,3,14,0,0,0,0,0,2,0,2.41
2846,2.8,9838,4,4,5,2,14,14,0,0,0,0,1,1,0,2.99
1630,1.68,10306,3,3,4,1,0,15,1,0,0,0,0,2,1,1.82
2195,2.3,10478,4,4,4,1,3,14,0,0,0,0,1,1,2.47
1665,1.65,9909,3,3,3,1,3,14,1,0,0,0,0,2,0,1.76
1860,1.8,9677,3,3,3,1,12,15,0,0,0,0,1,2,1,1.95
2195,2.24,10205,4,4,4,2,9,14,0,0,0,0,1,1,1,2.4
1665,1.62,9759,3,3,3,1,7,14,0,0,1,0,0,2,0,1.75
1665,1.65,9909,3,3,4,1,5,14,0,0,0,0,1,1,0,1.79
1630,1.68,10306,3,3,4,1,0,15,1,0,0,0,0,2,1,1.82
1630,1.62,9938,3,3,4,1,7,14,0,0,0,0,0,2,0,1.73
2200,2.3,10454,4,4,5,2,4,12,1,0,0,0,0,1,1,2.49
2200,2.35,10681,4,4,3,2,1,16,1,0,0,0,0,1,1,2.52
1665,1.65,9909,3,3,4,1,5,14,0,0,0,0,1,1,0,1.79
1665,1.62,10210,3,3,3,1,7,14,0,0,1,0,0,2,0,1.75
1895,2.05,10817,3,4,4,2,3,14,0,0,1,0,0,1,0,2.19
1860,1.85,9946,3,4,2,2,8,17,0,0,0,0,1,1,0,1.98
1665,1.55,9309,3,3,4,1,7,17,0,0,1,0,0,1,0,1.68
2195,2.27,10341,4,4,6,2,11,18,0,0,0,0,1,2,0,2.44
1665,1.65,9909,3,3,4,1,9,14,0,0,0,0,0,2,1,1.77
1630,1.58,9693,3,3,3,1,5,14,1,0,0,0,0,2,0,1.71
2846,2.85,10014,4,4,3,2,15,15,0,0,1,0,0,,0,3.06
1630,1.58,9693,3,3,3,1,5,14,1,0,0,0,0,2,0,1.71
1860,1.83,9838,3,3,3,1,7,14,1,0,0,0,0,2,0,1.96
1665,1.68,10102,3,4,4,,6,15,0,0,0,0,1,1,0,1.68
1860,1.83,9838,3,3,3,1,7,14,1,0,0,0,0,2,0,1.96
1665,1.68,10102,3,4,4,,6,15,0,0,0,0,1,1,0,1.68	