area,price_cr,price_per_unit,bed,bath,balcony,reserved_parking,floor,total_floors,east,west,north,south,northEast,southEast,northWest,southWest,possession,prop_age,freehold,lease,dealer_name
1669.0,1.6,10123.0,3.0,4.0,3.0,1.0,10.0,15.0,0,0,1,0,0,0,0,0,0,1,1,0,1
2195.0,2.35,10707,4,5,4,0,11,17,0,0,0,0,1,0,0,0,0,2,1,0,2
1665.0,1.65,9910,3,3,0,0,9,15,0,0,1,0,0,0,0,0,0,2,1,0,3
2195.0,2.28,10388,4,4,4,1,8,15,1,0,0,0,0,0,0,0,0,2,1,0,2
3000.0,2.75,9167,5,5,4,1,14,14,0,0,1,0,0,0,0,0,0,1,1,0,4
1665.0,1.65,9910,3,3,3,0,6,14,0,0,1,0,0,0,0,0,0,0,1,0,5
2170.0,2.07,9519,4,5,4,1,6,15,0,0,0,0,1,0,0,0,0,2,1,0,6
1750.0,1.8,9499,3,3,3,1,12,15,0,0,0,0,1,0,0,0,0,1,1,0,7
2577.0,2.46,9533,4,5,3,1,7,15,0,0,0,0,1,0,0,0,0,1,1,0,6
1860.0,1.79,9600,3,4,4,1,8,15,0,0,0,0,1,0,0,0,0,1,1,0,6
1630.0,1.54,9439,3,4,3,1,6,15,1,0,0,0,0,0,0,0,0,1,1,0,6
1895.0,1.9,10027,3,3,4,1,11,15,0,0,0,0,0,0,0,0,0,2,1,0,8
2195.0,2.25,10251,4,4,4,1,10,14,0,0,0,0,1,0,0,0,0,1,1,0,9
225.0,0.135,6000,1,1,1,0,3,5,0,0,0,0,1,0,0,0,0,0,1,0,10
450.0,0.35,7778,2,2,2,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,10
2200.0,2.3,10455,4,4,4,0,6,14,0,0,0,0,0,0,0,0,0,1,1,0,11
1665.0,1.62,9730,3,4,3,1,10,15,0,1,0,0,0,0,0,0,0,2,1,0,12
1665.0,1.6,9609,3,3,3,1,4,14,1,0,0,0,0,0,0,0,0,1,1,0,13
1895.0,1.85,9763,3,4,4,1,5,14,0,0,0,0,1,0,0,0,0,1,1,0,14
2846.0,2.85,10015,4,5,3,2,15,15,1,0,0,0,0,0,0,0,0,2,1,0,15
2200.0,2.4,10909,4,4,4,0,1,17,1,0,0,0,0,0,0,0,0,2,1,0,16
2195.0,2.31,10524,4,4,4,1,1,18,0,0,1,0,0,0,0,0,0,2,1,0,17
2195.0,2.25,10251,4,4,3,1,10,15,0,1,0,0,0,0,0,0,0,1,1,0,18
1665.0,1.7,10211,3,3,3,1,8,15,0,0,0,0,1,0,0,0,0,1,1,0,18
1630.0,1.75,10737,3,4,3,1,7,15,0,0,0,0,0,0,0,0,0,2,1,0,19
1665.0,1.7,10211,3,3,3,1,9,15,0,0,0,0,1,0,0,0,0,2,1,0,20
2195.0,2.15,9795,4,4,4,1,9,15,0,0,1,0,0,0,0,0,0,2,1,0,20
1895.0,1.83,9657,3,3,4,1,7,15,0,1,0,0,0,0,0,0,0,2,1,0,20
1665.0,1.68,10091,3,3,4,1,8,15,0,0,0,0,0,0,0,0,0,1,1,0,21
1895.0,1.88,9921,3,3,4,1,4,15,0,0,0,0,1,0,0,0,0,2,1,0,22
1630.0,1.7,10430,3,4,3,1,0,15,0,0,0,0,1,0,0,0,0,2,1,0,23
1665.0,1.69,10151,3,3,0,1,8,15,0,0,0,0,0,0,0,0,0,0,1,0,24
2195.0,2.35,10707,4,4,4,0,6,14,0,0,0,0,1,0,0,0,0,1,1,0,25
2195.0,2.26,,4,4,0,0,8,12,0,0,0,0,0,0,0,0,0,2,1,0,26
2577.0,2.54,9840,4,5,3,1,6,15,1,0,0,0,0,0,0,0,0,1,1,0,6
1860.0,1.75,9384,3,4,4,1,7,15,1,0,0,0,0,0,0,0,0,1,1,0,6
1630.0,1.53,9386,3,4,3,1,7,15,0,0,0,0,1,0,0,0,0,1,1,0,6
2170.0,2.12,9787,4,5,4,1,6,15,0,0,0,0,1,0,0,0,0,1,1,0,6
1665.0,1.65,9910,3,3,0,1,4,15,0,0,1,0,0,0,0,0,0,1,1,0,26
2195.0,2.4,10934,4,5,4,1,0,14,0,0,0,0,1,0,0,0,0,1,1,0,29
2846.0,2.7,9487,4,5,4,2,14,15,0,0,0,0,1,0,0,0,0,1,1,0,30
1895.0,1.8,9499,3,4,4,1,3,15,0,0,0,0,1,0,0,0,0,1,1,0,30
2195.0,2.25,10251,4,4,4,1,10,15,0,0,0,0,1,0,0,0,0,1,1,0,30
1665.0,1.62,9730,3,3,3,1,10,15,0,0,0,0,0,0,1,0,0,1,1,0,30
1895.0,1.9,10026,3,3,0,0,5,15,0,0,0,0,0,0,0,0,0,2,1,0,31
1630.0,1.64,10031,3,4,3,0,8,15,0,0,0,0,1,0,0,0,0,2,1,0,32
3200.0,2.5,7813,5,5,4,0,14,15,0,0,0,0,0,0,0,0,0,2,1,0,33
1630.0,1.53,9386,3,4,3,1,5,15,0,0,0,0,1,0,0,0,0,1,1,0,6
2577.0,2.2,8519,4,5,3,1,8,15,0,0,0,0,1,0,0,0,0,1,1,0,6